,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
0,10001,ROCK,2019,29.67155,-92.85596,0,0,none,,34,34,0,TRUE,,6,0,0,,N,N,,,12,8,S,S,S,S,,,S,S,12,12,8,8,8,18,18,WIPL,1,0,0,FALSE,TRUE,FALSE,10,10,10,18,18,,,2,8,0,3E,fail,10|18,3E|fail,0|8,,,"24 Apr- 1 egg, 9d, 2 eggs 5d. 28-Apr: nest washed out, 1 egg looked like new nest, but floating showed >1 day old (probably washed out of nest) no stick or cup"
1,10002,ROJH,2019,29.63637,-92.7708,0,0,none,,43,43,0,TRUE,,15,0,0,,N,N,,,11,6,D,D,D,D,,,D,D,11,11,6,6,6,26,26,WIPL,1,0,0,FALSE,TRUE,FALSE,12,20,20,26,26,,,3,14,0,3E,fail,12|20|26,1E|3E|fail,0|8|6,,,"evidence of coyote and GC in the area, but cannot define predator"
2,10003,ROJH,2019,29.63737,-92.77457,0,0,none,,31,31,0,TRUE,,3,0,0,,N,N,,,17,8,S,S,S,S,,,S,S,17,17,8,8,8,20,20,WIPL,1,0,0,FALSE,TRUE,FALSE,12,12,12,20,20,,,2,8,0,3E,fail,12|20,3E|fail,0|8,,,"22 Apr, 1 egg, 9d, 2 eggs at 5d. 30 Apr, nest empty, stick gone. Clear signs of storm surge with photo. "
3,10004,ROCK,2019,29.67027,-92.85163,0,5,none,,39,39,0,TRUE,,11,0,0,,N,N,,,7,4,S,S,S,S,,,S,S,7,7,4,4,4,18,18,WIPL,1,0,0,FALSE,TRUE,FALSE,14,14,14,18,18,,,2,4,0,2E,fail,14|18,2E|fail,0|4,,,"24 Apr- 2 eggs, 5d. 28-Apr: nest washed out, 1 egg in wrack, no stick or nest cup"
4,10005,RUTW,2019,29.76678,-93.16026,20,30,none,,45,45,0,TRUE,,17,0,0,,N,N,,,2,3,A,A,A,A,,,A,A,2,2,3,3,3,19,19,WIPL,1,0,0,FALSE,TRUE,FALSE,16,16,16,19,19,,,2,3,0,2E,fail,16|19,2E|fail,0|3,,,29 Apr- nest abandoned with 2 eggs abandoned due to cattle disturbance
5,10006,RUTW,2019,29.76756,-93.16419,5,20,none,,45,44,1,FALSE,,16,1,0,,N,N,,,27,4,H,H,H,H,,,H,H,28,27,4,4,0,44,44,WIPL,0,1,0,TRUE,TRUE,FALSE,16,44,44,44,44,,,8,28,0,3E,"2C, 1E",16|19|23|26|29|35|40|44,"2E|3E|3E|3E|3E|3E|3E|2C, 1E",0|3|4|3|3|6|5|4,,,"24 May- KBB 2 chicks in nest, 1 egg starring. Banded the 2 chicks at nest, adults present."
6,10007,RUTW,2019,29.77011,-93.17724,5,20,sym,,,38,,FALSE,,,,0,,N,N,,,,1,H,H,H,H,,,H,H,,,1,1,0,38,38,SNPL,,1,0,TRUE,TRUE,FALSE,16,38,38,38,38,,,10,22,,"3E, 1E pipped","2C, 1E hatch day",16|19|23|26|29|32|33|35|37|38,"3E|3E|3E|3E|3E|BON|BON|3E|3E, 1E pipped|2C, 1E hatch day",0|3|4|3|3|3|1|2|2|1,,,KBB nest hatched May 18- female brooding chicks at nest scrape. Both adults observed at nest on hatch day.
7,10008,RUTW,2019,29.77064,-93.1806,20,15,none,,45,41,4,FALSE,,13,7,2,,N,N,,,24,1,H,H,H,H,,,H,H,31,27,3,3,3,44,44,WIPL,0,1,0,TRUE,TRUE,FALSE,16,41,41,41,41,,,9,28,0,hatch day,0E,16|19|23|26|29|35|40|41|44,2E|3E|3E|3E|nest behavior|3E|3E|hatch day|0E,0|3|4|3|3|6|5|1|3,,,24 May- KBB nest empty but adult behavior and 2C observed at 1-4 days of age. One chick was banded at the shoreline. Pretty confident this was a successful nest.
8,10009,RUTW,2019,29.76413,-93.14734,5,10,none,,38,38,0,TRUE,,19,0,0,,N,N,,,6,3,F,F,F,F,,,F,F,6,6,3,3,3,25,25,LETE,1,0,0,FALSE,TRUE,FALSE,17,22,22,25,25,,,3,8,0,2E,empty,17|22|25,2E|2E|empty,0|5|3,,,no eggs or adult behavior near nest scrape. Cattle tracks and ghost crabs present.
9,10010,RUTW,2019,29.76166,-93.13636,0,5,none,,37,37,0,TRUE,,18,0,0,,N,N,,,19,3,F,F,F,F,,,F,F,19,19,3,3,3,37,37,LETE,0,0,0,FALSE,TRUE,FALSE,17,34,34,37,37,,,7,20,0,cracked,fail,17|22|25|26|29|34|37,1E|BON|2E|BON|BON|cracked|fail,0|5|3|1|3|5|3,,,wondering about an avian predator? No adults giving signs of a hatch. No adult at nest on May 17.
10,10012,RUTW,2019,29.76781,-93.16521,0,0,none,,37,40,3,FALSE,,21,3,0,,N,N,,,22,5,H,H,H,H,,,H,H,19,22,5,5,0,40,40,LETE,0,1,0,TRUE,TRUE,FALSE,19,40,40,40,40,,,5,21,1,2E,2C,19|23|26|35|40,2E|2E|2E|2E|2C,0|4|3|9|5,,,
11,10013,RUTW,2019,29.76876,-93.17068,10,15,none,,47,40,7,FALSE,,12,7,16,,N,N,,,21,5,H,H,H,H,,,H,H,28,21,5,21,0,40,40,WIPL,1,1,0,TRUE,TRUE,FALSE,19,40,40,40,40,,,5,21,0,?,cheeping,19|23|26|35|40,2E|not locate|not locate|?|cheeping,0|4|3|9|5,,," adults present, ""nesty"". could not find nest in veg"
12,10014,ROJH,2019,29.63622,-92.76917,0,0,sym,,41,41,0,TRUE,,22,0,0,,N,N,,,4,6,D,D,D,D,,,D,D,4,4,6,6,6,26,26,LETE,1,0,0,FALSE,TRUE,FALSE,20,20,20,26,26,,,2,6,0,1E,fail,20|26,1E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
13,10015,ROJH,2019,29.63618,-92.76921,0,0,sym,,40,40,0,TRUE,,21,0,0,,N,N,,,5,6,D,D,D,D,,,D,D,5,5,6,6,6,26,26,LETE,1,0,0,FALSE,TRUE,FALSE,20,20,20,26,26,,,2,6,0,2E,fail,20|26,2E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
14,10016,ROJH,2019,29.63626,-92.76968,0,0,sym,,41,41,0,TRUE,,22,0,0,,N,N,,,4,6,D,D,D,D,,,D,D,4,4,6,6,6,26,26,LETE,1,0,0,FALSE,TRUE,FALSE,20,20,20,26,26,,,2,6,0,1E,fail,20|26,1E|fail,0|6,,,"empty scrape, coyote and GC evidence around"
15,10017,ROJH,2019,29.6363,-92.77002,0,0,sym,,37,37,0,TRUE,,21,0,0,,N,N,,,12,5,S,S,S,S,,,S,S,12,12,5,5,5,33,33,CONI,1,0,0,FALSE,TRUE,FALSE,20,28,28,33,33,,,4,13,0,2E,fail,20|26|28|33,1E|2E|2E|fail,0|6|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
16,10018,ROJH,2019,29.63759,-92.76788,0,0,sym,,,,,TRUE,,,,0,,N,N,,,,6,D,D,D,D,,,D,D,,,6,6,6,26,26,WIPL,,0,0,FALSE,TRUE,FALSE,20,20,20,26,26,,,2,6,,3E,fail,20|26,3E|fail,0|6,,,"GC hole nearby, but unsure of predator type. the pair is scraping and preparing for a renest."
17,10019,ROCK,2019,29.66025,-92.82622,0,0,none,,53,53,0,TRUE,,25,0,5,,N,N,,,6,3,S,S,S,S,,,S,S,6,6,3,8,8,31,31,WIPL,1,0,0,FALSE,TRUE,FALSE,23,23,23,31,31,,,3,8,0,not check,fail,23|28|31,1E|not check|fail,0|5|3,,,strong south winds and storms
18,10020,ROCK,2019,29.66985,-92.85088,5,10,none,,38,38,0,TRUE,,22,0,0,,N,N,,,9,3,S,S,S,S,,,S,S,9,9,3,3,3,31,31,CONI,1,0,0,FALSE,TRUE,FALSE,23,28,28,31,31,,,3,8,0,2E,fail,23|28|31,2E|2E|fail,0|5|3,,,strong south winds and storms
19,10021,RUTW,2019,29.7615,-93.13543,,,sym,,42,42,0,TRUE,,23,0,0,,N,N,,,16,5,Ca,Ca,Ca,Ca,,,Ca,Ca,16,16,5,5,5,39,39,LETE,1,0,0,FALSE,TRUE,FALSE,25,34,34,39,39,,,6,14,0,BON,0E,25|29|32|33|34|39,2E|BON|BON|3E|BON|0E,0|4|3|1|1|5,,,
20,10022,RUTW,2019,29.7615,-93.13557,,,sym,,42,42,0,TRUE,,23,0,0,,N,N,,,16,5,Ca,Ca,Ca,Ca,,,Ca,Ca,16,16,5,5,5,39,39,LETE,1,0,0,FALSE,TRUE,FALSE,25,34,34,39,39,,,7,14,0,2E,0E,25|26|29|32|33|34|39,2E|BON|BON|BON|2E|2E|0E,0|1|3|3|1|1|5,,,
21,10024,RUTW,2019,29.76149,-93.13569,,,sym,,43,43,0,TRUE,,24,0,0,,N,N,,,19,4,Ca,Ca,Ca,Ca,,,Ca,Ca,19,19,4,4,4,43,43,LETE,0,0,0,FALSE,TRUE,FALSE,25,39,39,43,43,,,8,18,0,3E,fail,25|26|29|32|33|34|39|43,1E|BON|BON|BON|3E|BON|3E|fail,0|1|3|3|1|1|5|4,,,
22,10025,RUTW,2019,29.76152,-93.13572,,,sym,,43,43,0,TRUE,,24,0,0,,N,N,,,15,6,Ca,Ca,Ca,Ca,,,Ca,Ca,15,15,6,6,6,39,39,LETE,1,0,0,FALSE,TRUE,FALSE,25,33,33,39,39,,,6,14,0,2E,0E,25|26|29|32|33|39,1E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
23,10026,RUTW,2019,29.76153,-93.13573,,,sym,,42,42,0,TRUE,,23,0,0,,N,N,,,16,6,Ca,Ca,Ca,Ca,,,Ca,Ca,16,16,6,6,6,39,39,LETE,1,0,0,FALSE,TRUE,FALSE,25,33,33,39,39,,,6,14,0,2E,0E,25|26|29|32|33|39,2E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
24,10027,RUTW,2019,29.76156,-93.13577,,,sym,,42,42,0,TRUE,,23,0,0,,N,N,,,16,6,Ca,Ca,Ca,Ca,,,Ca,Ca,16,16,6,6,6,39,39,LETE,1,0,0,FALSE,TRUE,FALSE,25,33,33,39,39,,,6,14,0,3E,0E,25|26|29|32|33|39,2E|BON|BON|BON|3E|0E,0|1|3|3|1|6,,,
25,10028,RUTW,2019,29.76158,-93.13583,,,sym,,42,42,0,TRUE,,23,0,0,,N,N,,,16,6,Ca,Ca,Ca,Ca,,,Ca,Ca,16,16,6,6,6,39,39,LETE,1,0,0,FALSE,TRUE,FALSE,25,33,33,39,39,,,6,14,0,3E,0E,25|26|29|32|33|39,2E|BON|BON|BON|3E|0E,0|1|3|3|1|6,,,
26,10029,RUTW,2019,29.76157,-93.13584,,,sym,,43,43,0,TRUE,,24,0,0,,N,N,,,15,6,Ca,Ca,Ca,Ca,,,Ca,Ca,15,15,6,6,6,39,39,LETE,1,0,0,FALSE,TRUE,FALSE,25,33,33,39,39,,,6,14,0,2E,0E,25|26|29|32|33|39,2E|BON|BON|BON|2E|0E,0|1|3|3|1|6,,,
27,10030,RUTW,2019,29.76156,-93.13586,,,sym,,42,42,0,TRUE,,23,0,0,,N,N,,,10,1,Ca,Ca,Ca,Ca,,,Ca,Ca,10,10,1,1,1,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,25,32,32,33,33,,,5,8,0,BON,fail,25|26|29|32|33,2E|BON|BON|BON|fail,0|1|3|3|1,,,trampled overnight by herd of cattle observed in fenced area on 13 May
28,10031,RUTW,2019,29.76174,-93.13648,,,sym,,43,43,0,TRUE,,24,0,0,,N,N,,,9,1,Ca,Ca,Ca,Ca,,,Ca,Ca,9,9,1,1,1,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,25,32,32,33,33,,,5,8,0,BON,fail,25|26|29|32|33,2E|BON|BON|BON|fail,0|1|3|3|1,,,trampled overnight by herd of cattle observed in fenced area on 13 May
29,10032,RUTW,2019,29.76186,-93.13681,,,sym,,45,45,0,TRUE,,26,0,0,,N,N,,,11,3,Ca,Ca,Ca,Ca,,,Ca,Ca,11,11,3,3,3,37,37,LETE,1,0,0,FALSE,TRUE,FALSE,25,34,34,37,37,,,5,12,0,BON,fail,25|29|32|34|37,1E|3E|BON|BON|fail,0|4|3|2|3,,,trampled by cattle
30,10033,RUTW,2019,29.76199,-93.13726,,,sym,,45,45,0,TRUE,,26,0,0,,Y,Y,N,,8,2,Ca,Ca,Ca,Ca,Ca,Ca,Ca,Ca,8,8,2,2,2,34,34,LETE,1,0,0,FALSE,FALSE,FALSE,25,32,32,34,34,,,5,9,0,BON,fail,25|26|29|32|34,1E|2E|3E|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
31,10034,RUTW,2019,29.76195,-93.1374,,,sym,,45,45,0,TRUE,,26,0,0,,N,N,,,8,2,Ca,Ca,Ca,Ca,,,Ca,Ca,8,8,2,2,2,34,34,LETE,1,0,0,FALSE,TRUE,FALSE,25,32,32,34,34,,,5,9,0,BON,fail,25|26|29|32|34,1E|BON|BON|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
32,10035,RUTW,2019,29.76203,-93.13754,,,sym,,43,45,2,FALSE,,26,2,0,,N,N,,,21,2,H,H,H,H,,,H,H,19,21,2,2,0,45,45,LETE,0,1,0,TRUE,TRUE,FALSE,25,45,45,45,45,,,8,20,0,3E,hatch day,25|26|29|32|34|39|43|45,2E|BON|BON|BON|3E|BON|3E|hatch day,0|1|3|3|2|5|4|2,,,cattle disturbance on May 13; 5/23: stick knocked over
33,10036,RUTW,2019,29.76206,-93.13769,,,sym,,45,48,3,FALSE,,29,3,0,,N,N,,,22,2,H,H,H,H,,,H,H,19,22,2,2,0,48,48,LETE,0,1,0,TRUE,TRUE,FALSE,25,48,48,48,48,,,10,23,1,3E,hatching,25|26|29|32|34|39|43|45|46|48,1E|1E|2E|BON|3E|BON|3E|BON|3E|hatching,0|1|3|3|2|5|4|2|1|2,,,
34,10037,RUTW,2019,29.7621,-93.13808,,,sym,,42,42,0,TRUE,,23,0,0,,N,N,,,11,2,Ca,Ca,Ca,Ca,,,Ca,Ca,11,11,2,2,2,34,34,LETE,1,0,0,FALSE,TRUE,FALSE,25,32,32,34,34,,,5,9,0,BON,fail,25|26|29|32|34,2E|BON|BON|BON|fail,0|1|3|3|2,,,trampled overnight by herd of cattle observed in fenced area on 13 May
35,10038,RUTW,2019,29.76242,-93.13933,,,none,,40,40,0,TRUE,,21,0,0,,N,N,,,22,4,Ca,Ca,Ca,Ca,,,Ca,Ca,22,22,4,4,4,43,43,LETE,0,0,0,FALSE,TRUE,FALSE,25,39,39,43,43,,,7,18,1,3E,0E,25|26|29|32|34|39|43,3E|not see|3E|BON|BON|3E|0E,0|1|3|3|2|5|4,,,"5/23: SB found stick, nest has 3 trampled eggs"
36,10039,RUTW,2019,29.7624,-93.13937,,,none,,45,45,0,TRUE,,26,0,0,,N,N,,,6,3,F,F,F,F,,,F,F,6,6,3,3,3,32,32,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,32,32,,,4,7,0,3E,fail,25|26|29|32,1E|BON|3E|fail,0|1|3|3,,,
37,10040,RUTW,2019,29.76239,-93.13967,,,none,,40,40,0,TRUE,,21,0,0,,N,N,,,11,3,Ca,Ca,Ca,Ca,,,Ca,Ca,11,11,3,3,3,32,32,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,32,32,,,4,7,0,3E,fail,25|26|29|32,2E|BON|3E|fail,0|1|3|3,,,
38,10041,RUTW,2019,29.76243,-93.13976,,,none,,45,45,0,TRUE,,26,0,0,,N,N,,,6,3,Ca,Ca,Ca,Ca,,,Ca,Ca,6,6,3,3,3,32,32,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,32,32,,,4,7,0,2E,fail,25|26|29|32,1E|BON|2E|fail,0|1|3|3,,,
39,10042,RUTW,2019,29.76249,-93.13992,,,none,,45,45,0,TRUE,,26,0,0,,N,N,,,6,3,Ca,Ca,Ca,Ca,,,Ca,Ca,6,6,3,3,3,32,32,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,32,32,,,3,7,0,1E,fail,25|29|32,1E|1E|fail,0|4|3,,,
40,10043,RUTW,2019,29.76261,-93.14024,,,none,,37,37,0,TRUE,,18,0,0,,N,N,,,11,4,Ca,Ca,Ca,Ca,,,Ca,Ca,11,11,4,4,4,29,29,LETE,1,0,0,FALSE,TRUE,FALSE,25,25,25,29,29,,,2,4,0,3E,1E,25|29,3E|1E,0|4,,,9-May loose egg spotted outside of nest scrape. Cattle tracks all around the area and no LETE activity here
41,10044,RUTW,2019,29.76262,-93.14032,,,none,,40,40,0,TRUE,,21,0,0,,N,N,,,8,4,Ca,Ca,Ca,Ca,,,Ca,Ca,8,8,4,4,4,29,29,LETE,1,0,0,FALSE,TRUE,FALSE,25,25,25,29,29,,,2,4,0,2E,0E,25|29,2E|0E,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
42,10045,RUTW,2019,29.76262,-93.14041,,,none,,42,42,0,TRUE,,23,0,0,,N,N,,,6,4,Ca,Ca,Ca,Ca,,,Ca,Ca,6,6,4,4,4,29,29,LETE,1,0,0,FALSE,TRUE,FALSE,25,25,25,29,29,,,2,4,0,2E,0E,25|29,2E|0E,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
43,10046,RUTW,2019,29.76352,-93.14488,0,0,none,,42,42,0,TRUE,,23,0,0,,N,N,,,6,4,S,S,S,S,,,S,S,6,6,4,4,4,29,29,LETE,1,0,0,FALSE,TRUE,FALSE,25,25,25,29,29,,,2,4,0,2E,fail,25|29,2E|fail,0|4,,,nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.
44,10047,RUTW,2019,29.76375,-93.14532,,,none,,45,45,0,TRUE,,26,0,0,,N,N,,H,13,6,Ca,Ca,Ca,Ca,,,Ca,Ca,13,13,6,6,6,39,39,LETE,1,0,0,FALSE,TRUE,FALSE,25,33,33,39,39,,,4,14,0,3E,0E,25|29|33|39,2E|3E|3E|0E,0|4|4|6,,,when was camera placed?/picked up?
45,10048,RUTW,2019,29.76377,-93.14546,,,none,,45,45,0,TRUE,,26,,0,,Y,Y,N,,,5,U,U,U,U,Hu,Hu,Hu,Hu,22,22,5,5,5,48,48,LETE,0,7,0,TRUE,TRUE,TRUE,26,43,43,48,48,,,6,22,1,2E,no stick,25|29|33|39|43|48,1E|2E|3E|3E|2E|no stick,0|4|4|6|4|5,,lots of human/dog/vehicle/cattle disturbance,28 May- KBB adult above me. No nest stick or eggs. Possibly chick but heavy Memorial day traffic did a lot of damage to this area.
46,10049,RUTW,2019,29.76381,-93.14569,,,none,,40,40,0,TRUE,,21,,0,,N,N,,,,5,U-F,U-F,U-F,U-F,,,U-F,U-F,27,27,5,5,5,48,48,LETE,0,0,0,FALSE,TRUE,FALSE,26,43,43,48,48,,,7,22,1,1E,no stick,25|29|33|34|39|43|48,2E|2E|2E|2E|1E|1E|no stick,0|4|4|1|5|4|5,,,28 May- likely failed from Memorial Day traffic
47,10050,RUTW,2019,29.76383,-93.14576,,,none,,44,44,0,TRUE,,25,0,0,,N,N,,,4,4,A,A,A,A,,,A,A,4,4,4,4,4,29,29,LETE,1,0,0,FALSE,TRUE,FALSE,25,25,25,29,29,,,2,4,0,1E,fail,25|29,1E|fail,0|4,,,cattle disturbance likely the cause of failure. Cattle tracks all around the nest scrape.
48,10051,RUTW,2019,29.76386,-93.1458,,,none,,43,43,0,TRUE,,24,0,0,,N,N,,,9,4,F,F,F,F,,,F,F,9,9,4,4,4,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,33,33,,,3,8,0,3E,fail,25|29|33,2E|3E|fail,0|4|4,,,"empty scrape, unknown cause no evidence confirming cause of failure"
49,10052,RUTW,2019,29.76404,-93.14674,,,none,,40,40,0,TRUE,,21,0,0,,N,N,,,12,4,F,F,F,F,,,F,F,12,12,4,4,4,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,33,33,,,3,8,0,3E,fail,25|29|33,3E|3E|fail,0|4|4,,,"empty scrape, unknown cause no evidence confirming cause of failure"
50,10053,RUTW,2019,29.76409,-93.14695,,,none,,40,40,0,TRUE,,21,0,0,,N,N,,,12,4,Ca,Ca,Ca,Ca,,,Ca,Ca,12,12,4,4,4,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,33,33,,,3,8,0,2E,fail,25|29|33,2E|2E|fail,0|4|4,,,cattle tracks all through the nest area
51,10054,RUTW,2019,29.76433,-93.14821,,,none,,43,43,0,TRUE,,24,0,0,,N,N,,,9,4,D,D,D,D,,,D,D,9,9,4,4,4,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,33,33,,,3,8,0,2E,fail,25|29|33,2E|2E|fail,0|4|4,,,"coyote tracks at the nest, pictures from 13May"
52,10055,RUTW,2019,29.76453,-93.14896,,,none,,40,40,0,TRUE,,21,0,0,,N,N,,,12,4,D,D,D,D,,,D,D,12,12,4,4,4,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,33,33,,,3,8,0,3E,fail,25|29|33,3E|3E|fail,0|4|4,,,"coyote tracks at the nest, pictures from 13May"
53,10056,RUTW,2019,29.76455,-93.14906,,,none,,44,44,0,TRUE,,25,0,0,,N,N,,,8,4,D,D,D,D,,,D,D,8,8,4,4,4,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,25,29,29,33,33,,,3,8,0,1E,fail,25|29|33,1E|1E|fail,0|4|4,,,ghost crab hole at nest- pictures from 13 May
54,10057,ROJH,2019,29.63619,-92.76887,,,sym,,41,41,0,TRUE,,22,0,0,,N,N,,,11,5,S,S,S,S,,,S,S,11,11,5,5,5,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
55,10058,ROJH,2019,29.63622,-92.76918,,,sym,,41,41,0,TRUE,,22,0,0,,N,N,,,11,5,S,S,S,S,,,S,S,11,11,5,5,5,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,2E,fail,26|28|33,2E|2E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
56,10059,ROJH,2019,29.63626,-92.76952,,,sym,,46,46,0,TRUE,,27,0,0,,N,N,,,6,5,S,S,S,S,,,S,S,6,6,5,5,5,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,2E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
57,10060,ROJH,2019,29.63637,-92.77102,,,sym,,45,45,0,TRUE,,17,0,0,,N,N,,,16,5,S,S,S,S,,,S,S,16,16,5,5,5,33,33,WIPL,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
58,10061,ROJH,2019,29.63636,-92.77102,,,sym,,46,46,0,TRUE,,27,0,0,,N,N,,,6,5,S,S,S,S,,,S,S,6,6,5,5,5,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,2E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
59,10062,ROJH,2019,29.63633,-92.77042,,,sym,,41,41,0,TRUE,,22,0,0,,N,N,,,11,5,S,S,S,S,,,S,S,11,11,5,5,5,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
60,10063,ROJH,2019,29.63632,-92.77045,,,sym,,41,41,0,TRUE,,22,0,0,,N,N,,,11,5,S,S,S,S,,,S,S,11,11,5,5,5,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,3E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
61,10064,ROJH,2019,29.63621,-92.77026,,,sym,,47,47,0,TRUE,,28,0,0,,N,N,,,0,2,S,S,S,S,,,S,S,0,0,2,2,2,28,28,LETE,1,0,0,FALSE,TRUE,FALSE,26,26,26,28,28,,,2,2,0,1E,fail,26|28,1E|fail,0|2,,,nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.
62,10065,ROJH,2019,29.63627,-92.7703,,,sym,,46,46,0,TRUE,,27,0,0,,N,N,,,6,5,S,S,S,S,,,S,S,6,6,5,5,5,33,33,LETE,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,2E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
63,10066,ROJH,2019,29.63623,-92.76861,5,5,sym,,50,50,0,TRUE,,22,0,0,,N,N,,,11,5,S,S,S,S,,,S,S,11,11,5,5,5,33,33,WIPL,1,0,0,FALSE,TRUE,FALSE,26,28,28,33,33,,,3,7,0,3E,fail,26|28|33,2E|3E|fail,0|2|5,,,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost"
64,10067,RUTW,2019,29.76706,-93.16145,,,none,,,,,TRUE,,,,0,,N,N,,,,9,U-D,U-D,U-D,U-D,,,U-D,U-D,,,9,9,10,35,35,LETE,,0,0,FALSE,TRUE,FALSE,25,25,25,35,35,,,2,10,,2E,0E,26|35,2E|0E,0|9,,,coyote tracks nearby but could have failed beforehand
65,10068,RUTW,2019,29.76715,-93.16194,,,none,,,,,TRUE,,,,5,,N,N,,,,4,U,U,U,U,,,U,U,,,9,9,9,35,35,LETE,,0,0,FALSE,TRUE,TRUE,26,26,26,35,35,,,2,9,,2E,2E,26|35,2E|2E,0|9,,,
66,10069,RUTW,2019,29.76752,-93.16377,2,2,none,,,,,TRUE,,,,1,,N,N,,,,4,U,U,U,U,,,U,U,,,5,5,5,40,40,LETE,,0,0,FALSE,TRUE,TRUE,26,35,35,40,40,,,3,14,,3E,not f,26|35|40,3E|3E|not f,0|9|5,,,
67,10070,RUTW,2019,29.76759,-93.16413,2,2,none,,,,,TRUE,,,,0,,N,N,,,,6,A,A,A,A,,,A,A,,,6,6,6,35,35,LETE,,0,0,FALSE,TRUE,FALSE,26,29,29,35,35,,,3,9,,3E,1E,26|29|35,3E|3E|1E,0|3|6,,,
68,10071,RUTW,2019,29.76762,-93.16428,0,0,none,,,,,TRUE,,,,0,,N,N,,,,3,D,D,D,D,,,D,D,,,3,3,3,29,29,LETE,,0,0,FALSE,TRUE,FALSE,26,26,26,29,29,,,2,3,,2E,fail,26|29,2E|fail,0|3,,,9 May- scrape empty. No tracks around. Photo. 
69,10072,RUTW,2019,29.7677,-93.16454,5,10,none,,,44,,FALSE,,25,0,0,,Y,Y,N,H,19,4,H,H,H,H,H,H,H,H,19,19,4,4,0,44,44,LETE,,1,1,FALSE,FALSE,FALSE,26,44,44,44,44,,,5,18,,3E,2C,26|29|35|40|44,2E|3E|3E|3E|2C,0|3|6|5|4,,,5/24 2 chicks HOW OLD
