,nest,site,year,lat,lon,cov_1m,cov_5m,prot,pred,estHD,HD,HD_diff,HD_equal,init_calc,init_date,age_diff,init_diff,hatch_diff,camera_old,camera,missing,cam_fate_feb,nest_age_feb,final_obs_int_feb,field_fate,field_fate2,field_fate3,field_fate4,cam_fate1,cam_fate2,final_fate1,final_fate2,nest_age1,nest_age2,final_obs_int,final_obs_int2,final_obs_int3,final_obs_date,final_obs_date2,species,likely_failed,HF,HF_C,HF_MC,MC,marked_U,i,j,j_adj,k,k_adj,j.cam,k.cam,n_obs,n_days,> hatch?,penultimate,final,obs_dates,obs_history,obs_ints,new_notes,camera_notes,field_notes
684,30951,RUTE,2021,29.7565,-93.10919,0,0,,,70,72,2,FALSE,,53,2,0,0.028571429,Y,Y,N,H,21,3,H,H,H,H,H,H,H,H,19,21,3,3,0,72,72,LETE,0,1,1,FALSE,FALSE,FALSE,65,72,72,72,72,,,3,7,0,2E,"1E, 1C",65|69|72,"2E|2E|1E, 1C",0|4|3,,,is this the photo from 6/14 in google? Was i in the field on 21 jun?
685,30954,ROCK,2021,29.67991,-92.87427,10,10,,,,70,,FALSE,,54,2,2,,Y,Y,N,H,16,4,H,H,H,H,H,H,H,H,18,18,2,2,2,72,72,CONI,,1,1,FALSE,FALSE,FALSE,66,70,70,70,70,,,2,6,,2E,?,66|72,2E|?,0|2,,,is wrack ground cover or not? See field photos
686,30955,RUTW,2021,29.76571,-93.15208,0,0,,,84,84,0,TRUE,,65,3,0,,Y,Y,N,,19,4,Hu,Hu,Hu,Hu,Hu,Hu,Hu,Hu,16,16,4,4,4,81,81,LETE,1,0,0,FALSE,FALSE,FALSE,69,77,77,81,81,,,5,12,0,2E,0E,69|72|74|77|81,2E|2E|2E|2E|0E,0|3|2|3|4,,,"no signs 6/30 - may have been run over later, changed to U. run over, vehicle tracks going through nesting area"
687,20323,RUTE,2020,29.75859,-93.12138,50,50,,S,77,77,0,TRUE,,61,1,0,,Y,Y,N,,22,11,U,U,U,U,D,D,D,D,23,23,3,11,11,84,84,CONI,0,7,0,TRUE,TRUE,TRUE,61,73,73,84,84,,,7,23,1,?,0E,61|64|69|73|76|81|84,2E|2E|2E|2E|?|?|0E,0|3|5|4|3|5|3,other nests checked on those days-penult should be BON,fate videos (snake depredation) had been misidentified as 324,what was field fate???tagged female (118) tracked to nest location. very close to where she nested last year.
688,30957,RUTW,2021,29.76789,-93.16046,0,0,,,,,,TRUE,,,,2,,N,N,,,,3,U-H,U-H,U-H,U-H,,,U-H,U-H,,,2,5,5,74,74,LETE,,0,0,FALSE,TRUE,TRUE,69,69,69,74,74,,,3,5,,?,0E,69|72|74,2E|?|0E,0|3|2,other nests checked that day-penult should be BON,,"6/23-adults scream, no chicks or egg shell seen"
689,20352,RUTE,2020,29.75912,-93.1234,30,40,,,84,82,2,FALSE,,66,9,2,-0.023809524,Y,Y,N,H,27,5,U,U,U,U,H,H,H,H,18,16,2,3,2,84,84,CONI,0,7,1,TRUE,TRUE,TRUE,69,81,82,84,82,82,82,5,15,0,2E,0E,69|73|76|81|84,2E|2E|2E|2E|0E,0|4|3|5|2,,"camera set high, but bird moves around more, male visits more - hatch probably","why field fate marked U?? was nest checked on 3 july? removed asterisk from est HD changed est HD to 7/3 bc one egg might be bad*float was weird: one egg flat on bottom, one floating high with the tip above the water; camera pulled for July 4th by Jonathon - what was nest status?"
690,30959,RUTW,2021,29.76897,-93.16844,0,20,,,88,88,0,TRUE,,69,,3,0,Y,Y,N,H,,7,U,U,U,U,H,H,H,H,21,21,2,4,2,90,90,LETE,0,7,1,TRUE,TRUE,TRUE,74,86,88,90,88,88,88,4,16,0,2E,0E,74|81|86|90,2E|2E|2E|0E,0|7|5|2,,8 Jul - tiny baby being fed,first listed in gaiaf on 6/30 but mraked in spreadsheet on 6/23ate was empty
691,30960,RUTW,2021,29.76737,-93.16323,0,0,,,,,,TRUE,,,,5,,Y,Y,N,U,,4,U,U,U,U,,,,,,,4,9,4,90,90,LETE,,7,,TRUE,TRUE,TRUE,74,86,86,90,90,,,4,16,,?,0E,74|81|86|90,2E|2E|?|0E,0|7|5|4,other nests checked on those days-penult should be BON,batteries died?,"Any field obs on or after 7/5?? I was not there? paw prints  on 7/13 in field photos; may have happened after last obs. possible hatch or wash out, don't know expected hatch date. [COORDINATES INCORRECT WHEN DOING QA/QC]"
692,30961,RUTW,2021,29.76747,-93.16365,5,5,,,,,,TRUE,,,,0,,Y,Y,N,D,,7,S,S,S,S,D,D,D,D,,,7,7,7,81,81,LETE,,0,0,FALSE,TRUE,FALSE,74,74,74,81,81,,,2,7,,3E,0E,74|81,3E|0E,0|7,,,"no signs of fail or hatch on 6/30. changed veg from 10 to 5 based on field photo possible hatch or wash out, don't know expected hatch date. [COORDINATES INCORRECT WHEN DOING QA/QC]"
693,20355,RUTE,2020,29.75854,-93.12093,40,30,,,,,,TRUE,,,,0,,Y,Y,N,F,,1,U,U,U,U,A,A,A,A,,,1,1,1,73,73,CONI,,7,0,TRUE,TRUE,TRUE,69,72,72,73,73,,,3,4,,BON,0E,69|72|73,2E|BON|0E,0|3|1,,this can't be the correct nest: camera not triggered after 19 Jun when bird was incubating; still had battery when picked up on 22 Jun,??? Field notes for fate?? Why U?>
